replica_number;seed;S;M;specialization;Spebefore;Speafter;nestedness;t_max;K;Resources.given;dilution;l_sum;nb_coexisting_species;coexisting_species;final_abundances
0;1368682410;200;80;0.85;0.75098275;0.77032215;-1;2500;[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];16;1;7995.254021;15;[5, 24, 32, 37, 45, 70, 90, 103, 122, 128, 144, 167, 173, 175, 196];[1.6413613791169925, 33.743214045290955, 8.629400978829928, 8.153147242923403, 13.32645768914813, 1.2307547039395712, 21.101738390824814, 31.6168954909961, 7.050646719855368, 11.60218592898995, 17.06021102879936, 4.42760397380831, 15.834242651576762, 9.551884382422704, 20.624151835522646]
1;3519962725;200;80;0.85;0.739156204;0.750658366;-1;2500;[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];16;1;8016.579494;13;[18, 58, 60, 72, 83, 103, 112, 126, 128, 129, 136, 145, 159];[15.673988942972569, 18.450854159128408, 5.5931298278057024, 12.483066754405721, 27.964935461066997, 5.984781548636911, 2.881676429561106, 10.464132272398393, 21.531867876013322, 5.9637720276670585, 43.67144767068182, 19.1812903706346, 1.4759547035948857]
2;289866650;200;80;0.85;0.756116827;0.785702118;-1;2500;[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];16;1;7979.971604;14;[2, 7, 18, 31, 41, 46, 51, 52, 113, 122, 126, 132, 155, 164];[11.071679369397588, 26.282011048453672, 18.303057917149765, 26.030228215020813, 17.598465154657838, 20.13035921633571, 11.593843986534326, 3.7179017710783993, 8.822638015828698, 5.1662820202682544, 5.617267270291888, 23.223184280806805, 7.365948553676172, 7.818863515094867]
3;3267935478;200;80;0.85;0.754737489;0.785953532;-1;2500;[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];16;1;8030.822319;14;[21, 26, 40, 45, 53, 57, 68, 73, 104, 151, 182, 189, 196, 197];[16.503566164030893, 19.720337258110042, 30.170710960950004, 27.840510781459475, 10.554054826295173, 5.493594754832967, 4.485626592894926, 42.6862174189923, 17.37655937760937, 3.615558913995644, 11.254856585667342, 2.1513267893755152e-05, 33.26768295985917, 2.9556670014042496]
4;2031892563;200;80;0.85;0.751994173;0.74627928;-1;2500;[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];16;1;7980.344371;16;[5, 19, 45, 56, 89, 110, 116, 122, 127, 133, 154, 160, 166, 171, 186, 191];[24.932122908864443, 20.087930080684714, 18.627715741505185, 12.084379271711843, 2.577018116887544, 5.484177553024091, 27.560695497800214, 12.465664222331004, 9.68868931525122, 24.51256965843461, 7.618184450241775, 2.194949173927515, 9.538442034347815, 19.352334069703307, 0.010956942754898167, 0.2665763892715232]
5;1683988961;200;80;0.85;0.754925488;0.788117085;-1;2500;[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];16;1;7982.98541;13;[61, 67, 75, 76, 92, 105, 119, 132, 147, 153, 178, 181, 183];[18.8385483290677, 7.06989589975706, 2.9340833552820365, 12.268474826629324, 18.986741107102013, 5.9974872977670355, 24.94398548616973, 12.020142542249335, 28.951928256675085, 3.6825490615485013, 26.51172025174202, 1.92214423946136, 6.60794424270122]
6;1400953138;200;80;0.85;0.745984666;0.803987768;-1;2500;[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];16;1;8001.807099;12;[1, 3, 8, 15, 26, 29, 56, 59, 75, 87, 120, 173];[38.88830910390878, 13.26523458424749, 8.556164722895138, 17.74524954679292, 3.5071295233592523, 32.10891850666688, 3.822506784125683, 6.499775309097829, 17.446019895714276, 31.991417457399088, 30.586700247923115, 20.609006781303147]
7;2932632172;200;80;0.85;0.755909285;0.701089232;-1;2500;[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];16;1;7967.398682;11;[8, 39, 66, 111, 114, 122, 138, 154, 162, 170, 178];[2.0178798580075803, 15.624655279380363, 27.126138002093022, 22.519708270271988, 3.5674141616181925, 61.89121602893479, 21.586891043603664, 30.849801133220474, 25.791074144323385, 8.83141785315561, 12.004065290855046]
8;866815660;200;80;0.85;0.746078153;0.794386182;-1;2500;[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];16;1;8059.414956;14;[1, 50, 59, 60, 73, 81, 82, 85, 99, 105, 114, 154, 158, 195];[26.31540316645892, 9.008824973380682, 24.71853794068676, 17.746906241162467, 12.952560702223808, 11.732295588098056, 4.3081735389700855, 6.262979909806781, 11.07687609996558, 3.2025779833339008, 32.011479869738594, 8.663185893078062, 20.99435788257536, 16.422797635964262]
9;1578468354;200;80;0.85;0.758160507;0.73298632;-1;2500;[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];16;1;8013.018827;12;[22, 28, 78, 84, 118, 144, 153, 160, 161, 173, 175, 184];[16.80403090974928, 44.69275853776452, 9.294626795668577, 6.378916324896774, 21.437536700272986, 11.99575741301798, 2.2031678924415217, 15.036848127166046, 22.647289779516388, 32.576987606029974, 8.181042208709318, 13.605668734998606]
0;1333530333;200;80;0.85;0.737366606;0.757104813;0;2500;[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];16;1;8062.807871;42;[0, 2, 7, 8, 10, 22, 30, 33, 39, 42, 54, 64, 67, 69, 73, 79, 82, 93, 101, 106, 108, 109, 115, 117, 120, 123, 124, 126, 128, 129, 133, 136, 138, 150, 155, 162, 169, 179, 184, 185, 190, 195];[3.3257799134229535, 2.878395479277474, 9.353518355118052, 0.09724215531089071, 23.81228691671337, 3.6918808661932268, 5.551762117087876, 6.517183414436238, 0.12326018599851067, 0.6318061866717856, 3.322486457483094, 0.2467392467957687, 6.437427610019696, 5.461620926340809, 35.93108897276247, 1.3991838552748084, 0.21527494424053722, 5.704421965852029, 0.8039280628547252, 21.80290218498109, 0.7275188273202787, 3.9580176788449504, 0.8960311726557356, 1.2867264997310681, 1.0037752496908439, 2.1973584792122183, 18.778563528714432, 20.397494882215234, 18.147612294751028, 0.9169466503694582, 0.4820431095689608, 0.7111301698551756, 1.9308257527037687, 8.1512352202905, 0.08896740775552206, 10.267233704396936, 1.4157974576355024, 3.778312125195348, 1.733966816948107, 0.897152885756178, 0.8748016183866159, 5.720224842286325]
