Sparcity,Nestedness_pb,coexisitng species
0.0,-1.0,12
0.0,-1.0,14
0.0,-1.0,14
0.0,-1.0,15
0.0,-1.0,14
0.0,-1.0,14
0.0,-1.0,13
0.0,-1.0,13
0.0,-1.0,16
0.0,-1.0,13
0.95,-1.0,13
0.95,-1.0,17
0.95,-1.0,13
0.95,-1.0,11
0.95,-1.0,16
0.95,-1.0,14
0.95,-1.0,15
0.95,-1.0,14
0.95,-1.0,13
0.95,-1.0,14
0.0,0.0,44
0.0,0.0,39
0.0,0.0,37
0.0,0.0,50
0.0,0.0,50
0.0,0.0,38
0.0,0.0,43
0.0,0.0,47
0.0,0.0,41
0.0,0.0,37
0.95,0.0,22
0.95,0.0,29
0.95,0.0,31
0.95,0.0,30
0.95,0.0,26
0.95,0.0,26
0.95,0.0,24
0.95,0.0,25
0.95,0.0,21
0.95,0.0,21
0.0,0.5,37
0.0,0.5,42
0.0,0.5,30
0.0,0.5,42
0.0,0.5,48
0.0,0.5,46
0.0,0.5,38
0.0,0.5,45
0.0,0.5,23
0.0,0.5,35
0.95,0.5,25
0.95,0.5,25
0.95,0.5,21
0.95,0.5,30
0.95,0.5,20
0.95,0.5,32
0.95,0.5,21
0.95,0.5,29
0.95,0.5,25
0.95,0.5,25
0.0,1.0,26
0.0,1.0,31
0.0,1.0,35
0.0,1.0,28
0.0,1.0,29
0.0,1.0,33
0.0,1.0,23
0.0,1.0,21
0.0,1.0,43
0.0,1.0,32
0.95,1.0,26
0.95,1.0,20
0.95,1.0,21
0.95,1.0,26
0.95,1.0,22
0.95,1.0,26
0.95,1.0,24
0.95,1.0,20
0.95,1.0,22
0.95,1.0,22
